frame_number,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y,confidence
4,13,car,765.84,202.97,804.78,236.13,785.31,219.55,0.7097
4,14,car,0.0,882.5,143.62,1075.45,71.81,978.98,0.6983
4,15,truck,1326.19,451.05,1404.68,565.16,1365.43,508.1,0.6733
4,16,motorcycle,942.41,629.56,976.63,697.01,959.52,663.29,0.6992
4,17,car,1319.66,601.25,1381.59,683.26,1350.62,642.26,0.616
4,19,car,1302.17,549.14,1370.51,616.76,1336.34,582.95,0.5141
4,20,motorcycle,873.5,414.02,900.45,464.67,886.97,439.34,0.6434
4,21,car,1522.01,835.72,1630.21,943.69,1576.11,889.7,0.3174
4,22,motorcycle,953.9,291.0,989.06,342.16,971.48,316.58,0.4066
4,23,motorcycle,909.49,315.94,933.41,352.21,921.45,334.07,0.3276
4,24,car,395.79,894.79,524.52,1068.65,460.16,981.72,0.5105
4,25,car,846.03,175.84,886.19,205.88,866.11,190.86,0.3953
4,26,car,831.63,223.13,860.84,260.8,846.23,241.97,0.4535
4,27,motorcycle,1217.03,532.3,1242.68,574.24,1229.85,553.27,0.4807
4,28,motorcycle,944.61,433.92,974.74,483.91,959.67,458.92,0.5432
4,29,car,1268.66,469.65,1313.1,512.28,1290.88,490.96,0.3299
4,30,car,811.06,160.73,844.99,192.07,828.02,176.4,0.4169
4,31,car,1274.05,494.36,1323.16,558.83,1298.6,526.59,0.2941
4,32,motorcycle,920.51,236.39,937.33,271.08,928.92,253.74,0.389
4,33,car,1248.23,443.33,1294.12,498.27,1271.18,470.8,0.3452
4,34,truck,897.27,187.12,930.74,224.29,914.0,205.7,0.261
4,37,car,953.77,290.47,989.2,341.93,971.49,316.2,0.4206
4,18,truck,387.35,893.85,533.13,1074.52,460.24,984.19,0.4917
5,1,car,169.27,909.5,359.88,1076.79,264.58,993.14,0.8982
5,2,bus,636.41,461.87,845.8,756.52,741.11,609.2,0.9178
5,3,car,266.07,572.78,421.79,697.9,343.93,635.34,0.8922
5,4,car,533.6,418.6,634.34,507.73,583.97,463.16,0.9
5,5,car,550.4,772.55,726.44,988.42,638.42,880.48,0.8702
5,6,car,1396.61,621.2,1509.8,741.44,1453.2,681.32,0.8335
5,7,car,682.37,359.78,762.97,441.03,722.67,400.4,0.8352
5,8,car,614.02,317.84,685.95,380.44,649.99,349.14,0.7823
5,9,car,587.3,506.41,689.05,616.51,638.17,561.46,0.8502
5,10,car,729.29,278.02,779.34,332.59,754.32,305.31,0.7309
5,11,car,706.56,238.51,762.96,277.82,734.76,258.17,0.6952
5,12,car,789.17,267.69,839.2,315.53,814.18,291.61,0.8007
5,13,car,765.33,203.68,805.06,237.61,785.2,220.64,0.6707
5,14,car,0.0,893.77,133.8,1078.3,66.9,986.03,0.7801
5,15,truck,1326.32,450.87,1404.81,565.05,1365.57,507.96,0.6854
5,16,motorcycle,941.12,637.28,976.08,705.96,958.6,671.62,0.6702
5,17,car,1319.98,601.23,1381.68,683.09,1350.83,642.16,0.6562
5,19,car,1302.57,548.97,1371.33,617.12,1336.95,583.04,0.5035
5,20,motorcycle,873.4,416.18,900.22,466.51,886.81,441.35,0.6248
5,21,car,1524.48,836.77,1632.0,943.71,1578.24,890.24,0.3013
5,22,car,954.0,292.65,989.21,343.79,971.6,318.22,0.6618
5,23,motorcycle,909.95,318.89,932.86,353.71,921.41,336.3,0.2713
5,25,car,845.01,176.0,886.53,206.99,865.77,191.5,0.4878
5,26,car,831.03,222.94,861.26,262.03,846.15,242.48,0.2935
5,27,motorcycle,1217.99,534.95,1243.17,576.22,1230.58,555.58,0.4793
5,28,motorcycle,945.16,439.11,973.95,486.7,959.55,462.9,0.3243
5,29,car,1268.44,469.48,1313.36,512.53,1290.9,491.0,0.3536
5,30,car,810.25,160.84,845.6,193.56,827.93,177.2,0.4275
5,31,car,1274.96,494.7,1323.76,558.67,1299.36,526.68,0.2922
5,32,motorcycle,920.83,238.49,937.57,272.95,929.2,255.72,0.2597
5,33,car,1248.52,443.67,1294.3,498.45,1271.41,471.06,0.3558
5,18,car,382.89,909.1,520.22,1078.14,451.55,993.62,0.8133
6,1,car,169.31,922.54,349.22,1077.32,259.26,999.93,0.9134
6,2,bus,633.14,464.43,844.7,762.31,738.92,613.37,0.9415
6,3,car,260.9,576.82,417.6,702.69,339.25,639.75,0.9187
6,4,car,529.65,420.73,631.48,510.87,580.56,465.8,0.8904
6,5,car,546.48,779.15,723.85,996.98,635.17,888.07,0.8989
6,6,car,1396.35,620.74,1509.13,740.46,1452.74,680.6,0.8472
6,7,car,679.73,361.23,761.25,443.32,720.49,402.28,0.8561
6,8,car,612.22,319.55,683.72,381.68,647.97,350.62,0.8156
6,9,car,583.35,509.75,686.12,620.89,634.73,565.32,0.8584
6,10,car,727.58,278.38,778.46,333.99,753.02,306.18,0.7511
6,11,car,704.97,239.03,761.22,278.35,733.09,258.69,0.7302
6,12,car,788.01,268.49,838.1,316.43,813.05,292.46,0.7705
6,13,car,763.53,203.49,803.86,237.98,783.69,220.74,0.7022
6,14,car,0.0,903.57,124.46,1078.06,62.23,990.82,0.8593
6,15,truck,1325.85,450.52,1404.38,564.86,1365.11,507.69,0.6193
6,16,motorcycle,939.92,645.81,975.19,714.98,957.56,680.4,0.6036
6,17,car,1320.87,601.13,1380.52,680.29,1350.7,640.71,0.6134
6,19,car,1298.48,548.56,1368.15,618.57,1333.32,583.56,0.5363
6,20,motorcycle,872.5,418.47,899.43,468.9,885.97,443.69,0.618
6,21,car,1524.09,836.67,1633.1,944.84,1578.59,890.75,0.2977
6,22,car,953.25,293.7,988.72,345.12,970.99,319.41,0.6406
6,25,car,845.13,176.26,886.19,206.85,865.66,191.55,0.4892
6,26,car,830.07,222.76,860.39,261.97,845.23,242.37,0.3253
6,27,motorcycle,1217.38,537.81,1242.07,578.62,1229.73,558.21,0.3921
6,28,motorcycle,944.09,442.54,973.68,491.4,958.88,466.97,0.2949
6,29,car,1266.39,468.92,1314.58,515.23,1290.48,492.07,0.4026
6,30,car,810.08,161.1,844.46,192.86,827.27,176.98,0.4673
6,31,car,1277.36,494.78,1326.27,558.16,1301.81,526.47,0.3854
6,32,motorcycle,920.43,240.23,936.81,273.84,928.62,257.04,0.3601
6,33,car,1248.91,443.92,1294.13,497.98,1271.52,470.95,0.3532
6,18,car,378.61,922.51,508.04,1079.68,443.33,1001.1,0.8346
7,1,car,169.16,936.67,336.44,1076.92,252.8,1006.79,0.8566
7,2,bus,628.9,467.69,842.87,769.01,735.89,618.35,0.945
7,3,car,253.88,579.96,412.78,707.65,333.33,643.8,0.9196
7,4,car,526.19,423.15,628.94,514.18,577.57,468.66,0.8511
7,5,car,540.92,785.77,721.4,1007.84,631.16,896.8,0.92
7,6,car,1396.29,620.4,1508.66,739.57,1452.48,679.99,0.8466
7,7,car,677.5,362.53,759.51,444.99,718.51,403.76,0.863
7,8,car,609.71,320.68,681.33,382.84,645.52,351.76,0.7964
7,9,car,579.21,513.43,683.53,626.17,631.37,569.8,0.848
7,10,car,725.59,278.86,777.25,335.47,751.42,307.17,0.7274
7,11,car,704.45,239.13,761.03,278.99,732.74,259.06,0.7499
7,12,car,786.48,268.86,837.07,317.32,811.78,293.09,0.777
7,13,car,762.15,203.58,802.83,238.43,782.49,221.01,0.6703
7,14,car,0.0,914.26,113.96,1077.58,56.98,995.92,0.8197
7,15,truck,1325.82,450.15,1404.36,564.64,1365.09,507.4,0.5357
7,16,motorcycle,939.46,655.47,973.97,723.07,956.72,689.27,0.6858
7,17,car,1321.09,600.98,1380.1,679.28,1350.6,640.13,0.6185
7,19,car,1297.28,548.41,1366.52,618.98,1331.9,583.7,0.564
7,20,motorcycle,872.0,423.14,898.01,471.45,885.01,447.29,0.6581
7,21,car,1524.21,836.96,1634.67,946.28,1579.44,891.62,0.2894
7,22,car,953.04,294.67,988.82,346.41,970.93,320.54,0.5591
7,25,car,844.56,176.42,885.49,206.79,865.03,191.6,0.5309
7,26,car,829.16,222.75,859.8,262.38,844.48,242.56,0.3163
7,27,motorcycle,1218.38,538.16,1243.55,579.84,1230.96,559.0,0.4352
7,28,motorcycle,943.44,444.89,973.85,495.14,958.64,470.02,0.4978
7,29,car,1265.88,468.51,1315.12,516.0,1290.5,492.25,0.3952
7,30,car,808.81,161.23,843.26,193.01,826.03,177.12,0.4287
7,31,car,1278.65,495.58,1327.2,557.63,1302.92,526.6,0.4042
7,32,motorcycle,920.3,241.46,936.43,274.45,928.36,257.96,0.3692
7,33,car,1249.01,443.92,1294.18,497.85,1271.6,470.89,0.3706
7,18,car,374.57,938.37,493.64,1079.43,434.1,1008.9,0.7306
7,45,car,1243.03,347.24,1290.34,405.63,1266.68,376.44,0.3071
8,1,car,168.87,952.14,323.33,1077.36,246.1,1014.75,0.8155
